Reference,Quantity,Value,Footprint,Datasheet, MFG Part#, Description
"U11 ","1","LTC6957-2","ScopefunPackagesLibrary:12-MSOP","http://cds.linear.com/docs/en/datasheet/6957fa.pdf","LTC6957HMS-2#PBF","IC CLK BUFFER DRIVER 1:2 LVDS OUT 12MSOP"
"U12 ","1","XC7A35T-FTG256","ScopefunPackagesLibrary:BGA256_FTG256","https://www.xilinx.com/support/documentation/data_sheets/ds181_Artix_7_Data_Sheet.pdf","XC7A35T-2FTG256I","Artix-7 FPGA"
"U13 ","1","LTC4360-1","ScopefunPackagesLibrary:SC70","http://cds.linear.com/docs/en/datasheet/436012fa.pdf","LTC4360CSC8-1","Overvoltage Protection Controller"
"U14 ","1","SN74AUP1T17DCKR","ScopefunPackagesLibrary:SC70-5","http://www.ti.com/lit/ds/symlink/sn74aup1t17.pdf","SN74AUP1T17DCKR","Translation - Voltage Levels Low Pwr,1.8/2.5/3.3 Vin,3.3V CMOS Out"
"U15 ","1","74AVCH16T245","ScopefunPackagesLibrary:TSSOP48","http://www.ti.com/lit/ds/symlink/sn74avch16t245.pdf","SN74AVCH16T245GR","74AVCH16T245 16-bit dual supply translating transceiver"
"U16 ","1","OPA2830","ScopefunPackagesLibrary:TSSOP8","http://www.ti.com/lit/ds/symlink/opa2830.pdf","OPA2830IDGKT","Dual, Low-Power, Single-Supply, Wideband OPERATIONAL AMPLIFIER"
"U17 U18 ","2","LM393DGK","ScopefunPackagesLibrary:TSSOP8","http://www.ti.com/lit/ds/symlink/lm193.pdf","LM393DGKR","Dual, General Purpose, Differential Comparator"
"U19 U27 ","2","SPX3819","ScopefunPackagesLibrary:SOT23-5_EXAR","https://www.exar.com/content/document.ashx?id=22106","SPX3819M5-L/TR","500mA Low-Noise LDO Voltage Regulator"
"U1 U2 ","2","ADA4817-1","ScopefunPackagesLibrary:SOIC8","http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4817-1_4817-2.pdf","ADA4817-1ARDZ","Low Noise, 1 GHz FastFET Op Amp"
"U20 U21 U22 U25 U26 ","5","MAX15053","ScopefunPackagesLibrary:WLP-9","https://datasheets.maximintegrated.com/en/ds/MAX15053.pdf","MAX15053EWL+T","High-Efficiency, 2A, Current-Mode Synchronous, Step-Down Switching Regulator"
"U23 ","1","MCP4251","ScopefunPackagesLibrary:TSSOP14","http://ww1.microchip.com/downloads/en/DeviceDoc/22060b.pdf","MCP4251-503E/ST","Dual Digital Potentiometer 50kOhm"
"U24 ","1","LM2776","ScopefunPackagesLibrary:SOT23-6","http://www.ti.com/lit/ds/symlink/lm2776.pdf","LM2776DBVR","Switched Capacitor Inverter 200mA, LM2776"
"U28 ","1","TPS72301","ScopefunPackagesLibrary:SOT23-5","http://www.ti.com/lit/ds/symlink/tps723.pdf","TPS72301DBVR","IC REG LDO NEG ADJ 0.2A SOT23-5"
"U29 ","1","CYUSB3014","ScopefunPackagesLibrary:BGA121_0.8mm","http://www.cypress.com/file/140296/download","CYUSB3014-BZXC","FX3 SuperSpeed USB controller"
"U3 U4 ","2","AD8337","ScopefunPackagesLibrary:CP-8-2","http://www.analog.com/media/en/technical-documentation/data-sheets/AD8337.pdf","AD8337BCPZ-REEL7","DC-Coupled VGA (voltage adjusted gain)"
"U30 ","1","M24M02-DR","ScopefunPackagesLibrary:SOIC8","http://www.st.com/content/ccc/resource/technical/document/datasheet/b7/de/9b/f6/03/28/4e/8e/CD00290537.pdf/files/CD00290537.pdf/jcr:content/translations/en.CD00290537.pdf","M24M02-DRMN6TP","2 MBit I2C Bus Serial EEPROM"
"U31 ","1","DAC5662","ScopefunPackagesLibrary:S-PQFP-G48","http://www.ti.com/lit/ds/symlink/dac5662.pdf","DAC5662IPFB","DAC 12 bit 275 MSPS Dual DAC"
"U32 ","1","AZ4558C","ScopefunPackagesLibrary:SOIC8","https://www.diodes.com/assets/Datasheets/AZ4558C.pdf","AZ4558CMTR-E1","DUAL BIPOLAR OPERATIONAL AMPLIFIERS 5.5MHz 5.5MHz"
"U33 ","1","MAX5501","ScopefunPackagesLibrary:SSOP20","https://datasheets.maximintegrated.com/en/ds/MAX5500-MAX5501.pdf","MAX5501BGAP+","Low-Power, Quad, 12-Bit Voltage-Output DACs with Serial Interface, 3.3V supply"
"U34 U35 ","2","OPA692","ScopefunPackagesLibrary:SOT23-6","http://www.ti.com/lit/ds/symlink/opa692.pdf","OPA692IDBVT","Wideband,  Fixed  Gain Video BUFFER AMPLIFIER With Disable"
"U36 ","1","IS43TR16256A-125KBL","ScopefunPackagesLibrary:TW-BGA-96","http://www.issi.com/WW/pdf/43-46TR16256A-85120AL.pdf","IS43TR16256A-125KBL","256M X 16 BIT DDR3 SRAM 1.5V"
"U5 U6 ","2","ADA4932-1","ScopefunPackagesLibrary:CP-16-2","http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4932-1_4932-2.pdf","ADA4932-1YCPZ-R7","Low Power Differential ADC Driver, -3 dB bandwidth of 560 MHz, G = 1"
"U7 ","1","LTC6754","ScopefunPackagesLibrary:SC70-6","http://cds.linear.com/docs/en/datasheet/6754f.pdf","LTC6754HSC6#TRMPBF","Rail-to-Rail, High-Speed Comparator with LVDS Compatible Outputs"
"U10 U8 ","2","KAD5510P-25Q48","ScopefunPackagesLibrary:CP-56-2","https://www.intersil.com/content/dam/Intersil/documents/kad5/kad5510p.pdf","KAD5510P-25Q48","Low Power 10-Bit, 250 MSPS ADC"
"U9 ","1","SG3225VAN-250Mhz","ScopefunPackagesLibrary:3.2X2.5_SMD_6_EPSON","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG3225EAN_en.pdf","SG3225VAN 250.000000M-KEGA3","3.3 V, 250 MHz LVDS Clock Oscillator 30ppm"
"X1 ","1","X_Crystal_19.2Mhz","ScopefunPackagesLibrary:XTAL-4","https://www.pericom.com/assets/Datasheets/FL1920031.pdf","FL1920031","Quartz crystal 19.2 Mhz 10ppm"
